frequency,raw,error,smoothed,error_smoothed,equalization,parametric_eq,fixed_band_eq,equalized_raw,equalized_smoothed,target
57.42,9.24,7.70,9.25,7.71,-7.71,-7.65,-8.25,1.53,1.54,1.54
58.00,9.26,7.72,9.26,7.72,-7.72,-7.66,-8.31,1.54,1.54,1.54
58.58,9.28,7.74,9.27,7.73,-7.73,-7.67,-8.37,1.55,1.54,1.54
59.16,9.28,7.74,9.28,7.74,-7.74,-7.68,-8.42,1.54,1.54,1.54
59.76,9.28,7.74,9.28,7.74,-7.74,-7.68,-8.47,1.54,1.54,1.54
60.35,9.28,7.74,9.28,7.74,-7.74,-7.69,-8.51,1.54,1.54,1.54
60.96,9.28,7.74,9.28,7.75,-7.74,-7.69,-8.53,1.54,1.55,1.54
61.57,9.28,7.74,9.28,7.74,-7.73,-7.70,-8.55,1.55,1.55,1.54
62.18,9.28,7.74,9.27,7.73,-7.73,-7.70,-8.56,1.55,1.54,1.54
62.80,9.24,7.70,9.25,7.71,-7.72,-7.71,-8.57,1.52,1.53,1.54
63.43,9.24,7.70,9.24,7.70,-7.72,-7.71,-8.56,1.52,1.52,1.54
64.07,9.24,7.70,9.24,7.70,-7.72,-7.71,-8.54,1.52,1.52,1.54
64.71,9.26,7.72,9.26,7.72,-7.72,-7.72,-8.51,1.54,1.53,1.54
65.35,9.27,7.73,9.27,7.73,-7.73,-7.72,-8.48,1.54,1.54,1.54
66.01,9.28,7.74,9.28,7.74,-7.73,-7.72,-8.43,1.55,1.55,1.54
66.67,9.28,7.74,9.28,7.74,-7.74,-7.72,-8.38,1.54,1.54,1.54
67.33,9.28,7.74,9.28,7.74,-7.74,-7.72,-8.32,1.54,1.54,1.54
68.01,9.28,7.74,9.28,7.74,-7.74,-7.72,-8.26,1.54,1.54,1.54
68.69,9.28,7.74,9.28,7.75,-7.74,-7.72,-8.19,1.54,1.54,1.54
69.37,9.28,7.74,9.28,7.74,-7.74,-7.71,-8.11,1.54,1.54,1.54
70.07,9.28,7.74,9.27,7.73,-7.73,-7.71,-8.03,1.55,1.54,1.54
70.77,9.24,7.70,9.25,7.72,-7.72,-7.71,-7.95,1.52,1.53,1.54
71.48,9.24,7.70,9.24,7.70,-7.71,-7.70,-7.87,1.53,1.53,1.54
72.19,9.24,7.70,9.24,7.70,-7.70,-7.70,-7.78,1.54,1.54,1.54
72.91,9.24,7.70,9.24,7.70,-7.69,-7.69,-7.70,1.55,1.55,1.54
73.64,9.24,7.70,9.22,7.69,-7.68,-7.69,-7.61,1.56,1.54,1.54
74.38,9.19,7.65,9.21,7.67,-7.67,-7.68,-7.52,1.52,1.53,1.54
75.12,9.19,7.65,9.19,7.65,-7.67,-7.67,-7.44,1.52,1.53,1.54
75.87,9.19,7.65,9.19,7.65,-7.66,-7.66,-7.35,1.53,1.53,1.54
76.63,9.19,7.65,9.19,7.65,-7.65,-7.65,-7.27,1.54,1.54,1.54
77.40,9.19,7.65,9.18,7.64,-7.63,-7.65,-7.19,1.56,1.55,1.54
78.17,9.16,7.62,9.17,7.63,-7.62,-7.64,-7.11,1.54,1.54,1.54
78.95,9.14,7.60,9.15,7.61,-7.61,-7.63,-7.04,1.53,1.54,1.54
79.74,9.14,7.60,9.13,7.59,-7.60,-7.61,-6.97,1.54,1.53,1.54
80.54,9.11,7.57,9.12,7.58,-7.58,-7.60,-6.91,1.53,1.54,1.54
81.35,9.10,7.56,9.10,7.57,-7.57,-7.59,-6.84,1.53,1.54,1.54
82.16,9.10,7.56,9.08,7.55,-7.55,-7.58,-6.79,1.55,1.54,1.54
82.98,9.06,7.52,9.07,7.54,-7.53,-7.56,-6.73,1.53,1.54,1.54
83.81,9.05,7.51,9.05,7.52,-7.51,-7.55,-6.68,1.54,1.54,1.54
84.65,9.05,7.51,9.03,7.49,-7.50,-7.54,-6.64,1.55,1.53,1.54
85.50,9.00,7.46,9.02,7.48,-7.48,-7.52,-6.60,1.52,1.54,1.54
86.35,9.00,7.46,9.00,7.46,-7.46,-7.51,-6.56,1.54,1.53,1.54
87.22,8.99,7.45,8.98,7.44,-7.45,-7.49,-6.53,1.54,1.54,1.54
88.09,8.96,7.42,8.97,7.43,-7.43,-7.47,-6.51,1.53,1.54,1.54
88.97,8.96,7.42,8.95,7.41,-7.41,-7.46,-6.49,1.55,1.54,1.54
89.86,8.92,7.38,8.93,7.39,-7.39,-7.44,-6.47,1.53,1.54,1.54
90.76,8.91,7.37,8.91,7.38,-7.37,-7.42,-6.46,1.54,1.54,1.54
91.66,8.91,7.37,8.89,7.35,-7.35,-7.40,-6.45,1.56,1.54,1.54
92.58,8.86,7.32,8.87,7.33,-7.33,-7.38,-6.45,1.53,1.54,1.54
93.51,8.85,7.31,8.85,7.31,-7.31,-7.36,-6.45,1.54,1.54,1.54
94.44,8.82,7.28,8.82,7.28,-7.29,-7.34,-6.46,1.53,1.53,1.54
95.39,8.81,7.27,8.80,7.27,-7.27,-7.32,-6.47,1.54,1.54,1.54
96.34,8.77,7.23,8.78,7.24,-7.24,-7.30,-6.49,1.53,1.54,1.54
97.30,8.77,7.23,8.76,7.22,-7.22,-7.28,-6.51,1.55,1.54,1.54
98.28,8.74,7.20,8.74,7.20,-7.20,-7.25,-6.54,1.54,1.54,1.54
99.26,8.72,7.18,8.72,7.18,-7.18,-7.23,-6.56,1.54,1.54,1.54
100.25,8.70,7.16,8.70,7.17,-7.17,-7.21,-6.59,1.53,1.54,1.54
101.25,8.68,7.14,8.68,7.15,-7.14,-7.18,-6.63,1.54,1.54,1.54
102.27,8.68,7.14,8.67,7.13,-7.12,-7.16,-6.66,1.56,1.54,1.54
103.29,8.63,7.09,8.64,7.10,-7.10,-7.14,-6.70,1.53,1.54,1.54
104.32,8.62,7.08,8.61,7.08,-7.08,-7.11,-6.74,1.54,1.54,1.54
105.37,8.58,7.04,8.59,7.05,-7.05,-7.08,-6.79,1.53,1.53,1.54
106.42,8.56,7.02,8.56,7.02,-7.02,-7.06,-6.83,1.54,1.54,1.54
107.48,8.54,7.00,8.53,6.99,-6.99,-7.03,-6.87,1.55,1.54,1.54
108.56,8.50,6.96,8.50,6.97,-6.96,-7.00,-6.92,1.54,1.54,1.54
109.64,8.47,6.93,8.47,6.93,-6.93,-6.98,-6.96,1.54,1.54,1.54
110.74,8.44,6.90,8.43,6.90,-6.90,-6.95,-7.00,1.54,1.53,1.54
111.85,8.40,6.86,8.40,6.87,-6.87,-6.92,-7.04,1.53,1.54,1.54
112.97,8.37,6.83,8.37,6.84,-6.84,-6.89,-7.08,1.53,1.53,1.54
114.10,8.35,6.81,8.34,6.80,-6.81,-6.86,-7.11,1.54,1.53,1.54
115.24,8.31,6.77,8.31,6.78,-6.78,-6.83,-7.14,1.54,1.54,1.54
116.39,8.28,6.74,8.29,6.75,-6.74,-6.80,-7.17,1.54,1.54,1.54
117.55,8.26,6.72,8.25,6.71,-6.71,-6.77,-7.19,1.55,1.54,1.54
118.73,8.22,6.68,8.22,6.68,-6.68,-6.74,-7.21,1.54,1.54,1.54
119.92,8.18,6.64,8.18,6.65,-6.65,-6.71,-7.21,1.53,1.54,1.54
121.12,8.15,6.61,8.15,6.61,-6.62,-6.68,-7.22,1.53,1.54,1.54
122.33,8.12,6.58,8.12,6.58,-6.58,-6.65,-7.21,1.54,1.54,1.54
123.55,8.09,6.55,8.09,6.55,-6.55,-6.61,-7.20,1.54,1.54,1.54
124.79,8.05,6.51,8.05,6.52,-6.51,-6.58,-7.18,1.54,1.54,1.54
126.03,8.02,6.48,8.01,6.48,-6.48,-6.55,-7.16,1.54,1.54,1.54
127.29,7.98,6.44,7.98,6.44,-6.45,-6.51,-7.12,1.53,1.54,1.54
128.57,7.94,6.40,7.95,6.41,-6.41,-6.48,-7.09,1.53,1.54,1.54
129.85,7.93,6.39,7.91,6.38,-6.38,-6.45,-7.04,1.55,1.53,1.54
131.15,7.88,6.34,7.89,6.35,-6.35,-6.41,-6.99,1.53,1.54,1.54
132.46,7.85,6.31,7.86,6.32,-6.32,-6.38,-6.92,1.53,1.54,1.54
133.79,7.84,6.30,7.83,6.29,-6.29,-6.34,-6.86,1.55,1.54,1.54
135.12,7.79,6.25,7.80,6.27,-6.26,-6.30,-6.79,1.53,1.54,1.54
136.48,7.78,6.24,7.77,6.23,-6.23,-6.27,-6.71,1.55,1.54,1.54
137.84,7.74,6.20,7.74,6.20,-6.20,-6.23,-6.63,1.54,1.54,1.54
139.22,7.70,6.16,7.71,6.18,-6.17,-6.20,-6.55,1.53,1.54,1.54
140.61,7.69,6.15,7.68,6.14,-6.14,-6.16,-6.46,1.55,1.54,1.54
142.02,7.65,6.11,7.65,6.11,-6.10,-6.12,-6.37,1.55,1.54,1.54
143.44,7.60,6.06,7.61,6.07,-6.07,-6.08,-6.28,1.53,1.54,1.54
144.87,7.57,6.03,7.57,6.03,-6.03,-6.05,-6.19,1.54,1.54,1.54
146.32,7.53,5.99,7.53,5.99,-5.99,-6.01,-6.09,1.54,1.53,1.54
147.78,7.49,5.95,7.49,5.95,-5.96,-5.97,-6.00,1.53,1.54,1.54
149.26,7.45,5.91,7.45,5.91,-5.92,-5.93,-5.90,1.53,1.54,1.54
150.75,7.42,5.88,7.41,5.88,-5.88,-5.89,-5.81,1.54,1.54,1.54
152.26,7.37,5.83,7.38,5.84,-5.84,-5.85,-5.72,1.53,1.54,1.54
153.78,7.34,5.80,7.34,5.80,-5.80,-5.81,-5.63,1.54,1.54,1.54
155.32,7.30,5.76,7.30,5.76,-5.76,-5.77,-5.54,1.54,1.54,1.54
156.88,7.25,5.71,7.26,5.72,-5.72,-5.73,-5.45,1.53,1.54,1.54
158.44,7.22,5.68,7.21,5.67,-5.67,-5.69,-5.36,1.55,1.54,1.54
160.03,7.16,5.62,7.17,5.63,-5.63,-5.65,-5.28,1.53,1.53,1.54
161.63,7.13,5.59,7.13,5.59,-5.59,-5.61,-5.20,1.54,1.54,1.54
163.24,7.08,5.54,7.08,5.54,-5.55,-5.56,-5.12,1.53,1.54,1.54
164.88,7.05,5.51,7.04,5.51,-5.50,-5.52,-5.05,1.55,1.54,1.54
166.53,6.99,5.45,7.00,5.46,-5.46,-5.48,-4.97,1.53,1.54,1.54
168.19,6.96,5.42,6.96,5.42,-5.42,-5.44,-4.91,1.54,1.54,1.54
169.87,6.91,5.37,6.91,5.37,-5.37,-5.39,-4.84,1.54,1.54,1.54
171.57,6.87,5.33,6.87,5.33,-5.33,-5.35,-4.78,1.54,1.54,1.54
173.29,6.82,5.28,6.82,5.28,-5.29,-5.31,-4.72,1.53,1.54,1.54
175.02,6.77,5.23,6.78,5.24,-5.24,-5.26,-4.67,1.53,1.54,1.54
176.77,6.74,5.20,6.73,5.20,-5.20,-5.22,-4.62,1.54,1.54,1.54
178.54,6.69,5.15,6.69,5.15,-5.15,-5.18,-4.57,1.54,1.54,1.54
180.32,6.65,5.11,6.65,5.11,-5.11,-5.13,-4.53,1.54,1.54,1.54
182.13,6.60,5.06,6.60,5.06,-5.06,-5.09,-4.49,1.54,1.54,1.54
183.95,6.55,5.01,6.55,5.01,-5.02,-5.04,-4.45,1.53,1.53,1.54
185.79,6.51,4.97,6.51,4.97,-4.97,-5.00,-4.41,1.54,1.54,1.54
187.65,6.46,4.92,6.46,4.93,-4.93,-4.95,-4.38,1.53,1.54,1.54
189.52,6.43,4.89,6.42,4.89,-4.88,-4.91,-4.36,1.55,1.54,1.54
191.42,6.37,4.83,6.38,4.84,-4.84,-4.86,-4.33,1.53,1.54,1.54
193.33,6.34,4.80,6.33,4.79,-4.79,-4.82,-4.31,1.55,1.54,1.54
195.27,6.28,4.74,6.28,4.75,-4.75,-4.77,-4.29,1.53,1.54,1.54
197.22,6.23,4.69,6.24,4.70,-4.70,-4.72,-4.27,1.53,1.54,1.54
199.19,6.20,4.66,6.19,4.65,-4.65,-4.68,-4.26,1.55,1.54,1.54
201.18,6.14,4.60,6.14,4.60,-4.60,-4.63,-4.25,1.54,1.54,1.54
203.19,6.09,4.55,6.09,4.55,-4.55,-4.58,-4.24,1.54,1.54,1.54
205.23,6.04,4.50,6.04,4.50,-4.50,-4.53,-4.23,1.54,1.54,1.54
207.28,5.99,4.45,5.99,4.46,-4.45,-4.49,-4.22,1.54,1.54,1.54
209.35,5.95,4.41,5.94,4.41,-4.40,-4.44,-4.22,1.55,1.54,1.54
211.44,5.89,4.35,5.89,4.35,-4.35,-4.39,-4.21,1.54,1.54,1.54
213.56,5.83,4.29,5.83,4.29,-4.30,-4.34,-4.21,1.53,1.54,1.54
215.69,5.77,4.23,5.78,4.24,-4.24,-4.29,-4.21,1.53,1.53,1.54
217.85,5.73,4.19,5.73,4.19,-4.19,-4.25,-4.21,1.54,1.53,1.54
220.03,5.68,4.14,5.67,4.14,-4.14,-4.20,-4.20,1.54,1.54,1.54
222.23,5.62,4.08,5.62,4.09,-4.09,-4.15,-4.20,1.53,1.54,1.54
224.45,5.57,4.03,5.57,4.04,-4.04,-4.10,-4.19,1.53,1.54,1.54
226.70,5.53,3.99,5.53,3.99,-3.99,-4.05,-4.19,1.54,1.54,1.54
228.96,5.48,3.94,5.48,3.94,-3.94,-4.00,-4.18,1.54,1.54,1.54
231.25,5.42,3.88,5.42,3.89,-3.88,-3.95,-4.17,1.54,1.54,1.54
233.57,5.37,3.83,5.37,3.83,-3.83,-3.90,-4.16,1.54,1.54,1.54
235.90,5.32,3.78,5.32,3.78,-3.78,-3.85,-4.15,1.54,1.54,1.54
238.26,5.27,3.73,5.27,3.73,-3.73,-3.80,-4.13,1.54,1.54,1.54
240.64,5.21,3.67,5.21,3.67,-3.67,-3.75,-4.11,1.54,1.54,1.54
243.05,5.16,3.62,5.16,3.62,-3.62,-3.70,-4.09,1.54,1.53,1.54
245.48,5.10,3.56,5.10,3.56,-3.57,-3.65,-4.06,1.53,1.53,1.54
247.93,5.05,3.51,5.05,3.52,-3.52,-3.60,-4.03,1.53,1.54,1.54
250.41,5.01,3.47,5.01,3.47,-3.47,-3.55,-3.99,1.54,1.54,1.54
252.92,4.96,3.42,4.96,3.42,-3.42,-3.50,-3.96,1.54,1.54,1.54
255.45,4.91,3.37,4.91,3.37,-3.37,-3.45,-3.91,1.54,1.54,1.54
258.00,4.85,3.31,4.86,3.32,-3.33,-3.39,-3.87,1.52,1.53,1.54
260.58,4.82,3.28,4.81,3.28,-3.28,-3.34,-3.82,1.54,1.53,1.54
263.19,4.77,3.23,4.77,3.24,-3.24,-3.29,-3.77,1.53,1.54,1.54
265.82,4.74,3.20,4.74,3.20,-3.19,-3.24,-3.71,1.55,1.54,1.54
268.48,4.69,3.15,4.69,3.15,-3.15,-3.19,-3.65,1.54,1.54,1.54
271.16,4.65,3.11,4.65,3.11,-3.11,-3.14,-3.59,1.54,1.54,1.54
273.87,4.60,3.06,4.60,3.06,-3.06,-3.08,-3.52,1.54,1.54,1.54
276.61,4.55,3.01,4.55,3.01,-3.02,-3.03,-3.46,1.53,1.54,1.54
279.38,4.50,2.96,4.50,2.96,-2.97,-2.98,-3.39,1.53,1.53,1.54
282.17,4.46,2.92,4.45,2.92,-2.92,-2.93,-3.32,1.54,1.53,1.54
284.99,4.40,2.86,4.41,2.87,-2.87,-2.88,-3.24,1.53,1.54,1.54
287.84,4.36,2.82,4.36,2.82,-2.82,-2.82,-3.17,1.54,1.54,1.54
290.72,4.31,2.77,4.31,2.77,-2.76,-2.77,-3.09,1.55,1.54,1.54
293.63,4.26,2.72,4.25,2.71,-2.71,-2.72,-3.02,1.55,1.54,1.54
296.57,4.19,2.65,4.20,2.66,-2.66,-2.67,-2.94,1.53,1.54,1.54
299.53,4.13,2.59,4.14,2.60,-2.61,-2.61,-2.86,1.52,1.53,1.54
302.53,4.10,2.56,4.09,2.55,-2.56,-2.56,-2.78,1.54,1.53,1.54
305.55,4.04,2.50,4.04,2.51,-2.51,-2.51,-2.71,1.53,1.54,1.54
308.61,3.99,2.45,4.00,2.46,-2.46,-2.46,-2.63,1.53,1.54,1.54
311.69,3.96,2.42,3.95,2.41,-2.41,-2.40,-2.55,1.55,1.54,1.54
314.81,3.90,2.36,3.90,2.36,-2.36,-2.35,-2.48,1.54,1.54,1.54
317.96,3.85,2.31,3.85,2.31,-2.31,-2.30,-2.40,1.54,1.54,1.54
321.14,3.80,2.26,3.80,2.26,-2.26,-2.25,-2.33,1.54,1.54,1.54
324.35,3.75,2.21,3.75,2.21,-2.22,-2.19,-2.25,1.53,1.54,1.54
327.59,3.71,2.17,3.70,2.16,-2.17,-2.14,-2.18,1.54,1.54,1.54
330.87,3.65,2.11,3.66,2.12,-2.12,-2.09,-2.11,1.53,1.54,1.54
334.18,3.61,2.07,3.61,2.07,-2.07,-2.04,-2.04,1.54,1.54,1.54
337.52,3.57,2.03,3.56,2.02,-2.03,-1.98,-1.97,1.54,1.54,1.54
340.90,3.51,1.97,3.52,1.98,-1.98,-1.93,-1.90,1.53,1.54,1.54
344.30,3.47,1.93,3.47,1.93,-1.93,-1.88,-1.83,1.54,1.54,1.54
347.75,3.43,1.89,3.42,1.88,-1.89,-1.82,-1.76,1.54,1.54,1.54
351.23,3.37,1.83,3.38,1.84,-1.84,-1.77,-1.70,1.53,1.54,1.54
354.74,3.33,1.79,3.33,1.79,-1.79,-1.72,-1.63,1.54,1.54,1.54
358.28,3.29,1.75,3.28,1.74,-1.74,-1.67,-1.57,1.55,1.54,1.54
361.87,3.23,1.69,3.23,1.69,-1.69,-1.62,-1.51,1.54,1.54,1.54
365.49,3.17,1.63,3.18,1.64,-1.64,-1.56,-1.45,1.53,1.54,1.54
369.14,3.13,1.59,3.13,1.59,-1.59,-1.51,-1.39,1.54,1.54,1.54
372.83,3.07,1.53,3.07,1.54,-1.54,-1.46,-1.33,1.53,1.54,1.54
